2026-05-16 12:12:20.221075 | 3.233.158.121 -> 192.168.1.7 | TCP
2026-05-16 12:12:20.224698 | 3.233.158.119 -> 192.168.1.7 | TCP
2026-05-16 12:12:20.726022 | 3.233.158.118 -> 192.168.1.7 | TCP
2026-05-16 12:12:21.154461 | 3.233.158.117 -> 192.168.1.7 | TCP
2026-05-16 12:12:21.274165 | 3.233.158.119 -> 192.168.1.7 | TCP
2026-05-16 12:12:21.637632 | 192.168.1.7 -> 52.168.112.67 | TCP
2026-05-16 12:12:21.640270 | 192.168.1.7 -> 52.168.112.67 | TCP
2026-05-16 12:12:21.644530 | 192.168.1.7 -> 52.168.112.67 | TCP
2026-05-16 12:12:21.649670 | 3.233.158.115 -> 192.168.1.7 | TCP
2026-05-16 12:12:21.902501 | 52.168.112.67 -> 192.168.1.7 | TCP
2026-05-16 12:12:21.915993 | 52.168.112.67 -> 192.168.1.7 | TCP
2026-05-16 12:12:21.922463 | 52.168.112.67 -> 192.168.1.7 | TCP
2026-05-16 12:12:21.925610 | 52.168.112.67 -> 192.168.1.7 | TCP
2026-05-16 12:12:21.951668 | 192.168.1.7 -> 52.168.112.67 | TCP
2026-05-16 12:12:22.131366 | 3.233.158.116 -> 192.168.1.7 | TCP
2026-05-16 12:12:22.215798 | 52.168.112.67 -> 192.168.1.7 | TCP
2026-05-16 12:12:22.218167 | 192.168.1.7 -> 52.168.112.67 | TCP
2026-05-16 12:12:22.267482 | 3.233.158.121 -> 192.168.1.7 | TCP
2026-05-16 12:12:22.499641 | 192.168.1.7 -> 8.8.8.8 | UDP
2026-05-16 12:12:22.502007 | 192.168.1.7 -> 8.8.8.8 | UDP
2026-05-16 12:12:22.522633 | 52.168.112.67 -> 192.168.1.7 | TCP
2026-05-16 12:12:22.533045 | 8.8.8.8 -> 192.168.1.7 | UDP
2026-05-16 12:12:22.539337 | 8.8.8.8 -> 192.168.1.7 | UDP
2026-05-16 12:12:22.541767 | 192.168.1.7 -> 20.189.173.17 | TCP
2026-05-16 12:12:22.756293 | 20.189.173.17 -> 192.168.1.7 | TCP
2026-05-16 12:12:22.758673 | 192.168.1.7 -> 20.189.173.17 | TCP
2026-05-16 12:12:22.762579 | 192.168.1.7 -> 20.189.173.17 | TCP
2026-05-16 12:12:22.773646 | 3.233.158.118 -> 192.168.1.7 | TCP
